id,figure_or_myth,category,origin_culture,priority,hook
1,arachne,greek,greek,10,"Lydian weaver who challenged Athena to a contest; her tapestry mocked the gods so Athena tore it and transformed her into the first spider."
2,persephone's pomegranate seeds,greek,greek,10,"Hades abducted Persephone to the underworld; before her mother Demeter could free her, Hades tricked her into eating six pomegranate seeds, binding her to him for six months every year."
3,prometheus's punishment,greek,greek,10,"For stealing fire from Olympus and giving it to humanity, Zeus chained Prometheus to a Caucasus crag where an eagle tore out his liver each day; it grew back each night."
4,actaeon and artemis,greek,greek,10,"Theban hunter who stumbled on the goddess Artemis bathing in a forest pool; she splashed him with water and he turned into a stag, then was torn apart by his own hounds."
5,sisyphus's boulder,greek,greek,20,"King of Corinth who twice cheated death — once chaining Thanatos, once tricking Persephone into releasing him; the gods sentenced him to roll a boulder up a hill that always rolled back down."
6,fenrir's binding,norse,norse,10,"The gods tricked the wolf Fenrir into being bound by Gleipnir, a deceptively thin ribbon woven from a cat's footfall, a fish's breath, a woman's beard, and other impossible things; the god Týr lost his hand as collateral."
7,loki's binding,norse,norse,10,"After engineering the death of Baldr, Loki was caught and bound with the entrails of his own son beneath a serpent that drips venom onto his face; his wife Sigyn catches the venom in a bowl."
8,thor's wedding disguise,norse,norse,10,"The giant Thrym stole Mjölnir and demanded the goddess Freyja as bride; Thor disguised himself in a bridal gown and veil, ate an entire ox at the feast, then retrieved his hammer and slaughtered the wedding party."
9,baldr's death by mistletoe,norse,norse,10,"His mother Frigg made every creature and plant swear not to harm Baldr — but forgot the mistletoe; Loki guided the blind god Höðr to throw a mistletoe dart that killed him."
10,odin's eye at mimir's well,norse,norse,15,"Odin tore out his own eye and dropped it into the well beneath Yggdrasil's root, where the severed head of Mimir guarded the water of wisdom, in exchange for one drink from it."
11,set vs horus,egyptian,egyptian,10,"After Set murdered and dismembered his brother Osiris, Osiris's son Horus fought him for the throne of Egypt across eighty years of trials including a stone-boat race and a contest of poisoned semen."
12,anubis weighing the heart,egyptian,egyptian,10,"The jackal-headed god Anubis led each soul into the Hall of Two Truths and weighed their heart against the feather of Ma'at; if the heart was heavier, Ammit the devourer ate it."
13,isis assembling osiris,egyptian,egyptian,10,"After Set scattered Osiris's body in fourteen pieces across Egypt, his sister-wife Isis searched the Nile and found every piece but his phallus, then fashioned a replacement of gold to conceive Horus."
14,ra's secret name,egyptian,egyptian,10,"The goddess Isis molded a serpent from the sun god Ra's own spittle and the earth, set it to bite him, and refused the antidote until he whispered her his true secret name — and his power passed to her."
15,bennu bird,egyptian,egyptian,20,"The self-created heron of Heliopolis who landed on the first mound to rise from the waters of chaos and let out the first cry, ordering creation; later traditions made him the soul of Ra and a model for the phoenix."
16,churning of the ocean of milk,hindu,hindu,10,"Devas and asuras used the serpent Vasuki as a rope and Mount Mandara as a churning pole to extract the nectar of immortality from the cosmic ocean; Vishnu took tortoise form to support the mountain."
17,hanuman setting lanka aflame,hindu,hindu,10,"Captured in the demon-king Ravana's court, the monkey god Hanuman let his tail be wrapped in oil-soaked cloth and lit on fire — then leapt from roof to roof setting the golden city of Lanka ablaze."
18,krishna lifting govardhan,hindu,hindu,10,"When Indra sent a week-long storm to drown the village of Vrindavan, the boy Krishna lifted the entire Govardhan hill on one fingertip as a shelter for the cowherds and their cattle."
19,shiva drinking the halahala poison,hindu,hindu,10,"During the ocean-churning, a black poison surfaced that threatened to destroy all creation; Shiva drank it to save the world but Parvati gripped his throat to stop it, leaving his throat permanently blue."
